[2021-08-2304:03:05 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:06 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:07 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:09 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:10 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:11 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:12 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:14 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:15 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:16 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:17 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:19 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:20 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:21 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:22 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:24 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:27 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:28 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:29 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:30 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:32 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:35 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:36 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:38 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:39 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:40 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:41 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:43 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:44 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:45 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 0', 'D60: 0']]
